Título¢Link 1¢Link 2¢Descrição
EDITAL Nº 03/2024-PPGPGP - PROCESSO SELETIVO DE DOUTORADO - TURMA 2025¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/edital-no-03-2024-ppgpgp-processo-seletivo-de-doutorado-turma-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4972374&id_orgao_publicacao=0¢Descrição não encontrada
EDITAL Nº 02/2024-PPGPGP - PROCESSO SELETIVO DE MESTRADO - TURMA 2025¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/edital-no-02-2024-ppgpgp-processo-seletivo-de-mestrado-turma-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4972410&id_orgao_publicacao=0¢Descrição não encontrada
Edital 04/2024 — PROCESSO SELETIVO DE BOLSISTA — DOUTORADO¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/processo-seletivo-de-bolsista-doutorado¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4741088&id_orgao_publicacao=0¢Descrição não encontrada
EDITAL Nº 01/2024-PPGPGP - DUPLA DIPLOMAÇÂO - IPB¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/dupla-diplomacao-ipb¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4554621&id_orgao_publicacao=0¢Descrição não encontrada
Resultado Preliminar - EDITAL Nº 06-2024¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/edital-no-06-2024-homologacao-das-inscricoes-e-resultado-preliminar.pdf/@@download/file¢Link final não encontrado¢Descrição não encontrada
Processo Seletivo - Doutorado (2024)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/processo-seletivo-doutorado-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3944837&id_orgao_publicacao=0¢Descrição não encontrada
Processo Seletivo - Mestrado (2024)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/processo-seletivo-mestrado-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3944783&id_orgao_publicacao=0¢Descrição não encontrada
Edital de Dupla Diplomação¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/edital-de-dupla-diplomacao-1¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3657062&id_orgao_publicacao=0¢Descrição não encontrada
Processo Seletivo Interno para Bolsa de Mestrado e Doutorado¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/processo-seletivo-interno-para-bolsa-de-mestrado-e-doutorado¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3598361&id_orgao_publicacao=0¢Descrição não encontrada
Edital Bolsa-Auxílio Pesquisador — Desenvolvimento Institucional¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgpgp-ct/editais/edital-bolsa-auxilio-pesquisador-2014-desenvolvimento-institucional¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3509520&id_orgao_publicacao=0¢Descrição não encontrada
