Título¢Link 1¢Link 2¢Descrição
PROGRAMA DE DOUTORADO SANDUÍCHE NO EXTERIOR (PDSE/CAPES)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/programa-de-doutorado-sanduiche-no-exterior-pdse-capes¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4988240&id_orgao_publicacao=0¢Descrição não encontrada
Retificado - Edital 02/2022 - Processo Seletivo de Discentes¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/edital-ppgsau-02-2022-processo-seletivo-de-discentes¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3401796&id_orgao_publicacao=0¢Descrição não encontrada
SELEÇÃO DE CANDIDATOS PARA ESTÁGIO PÓS-DOUTORAL¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/selecao-de-candidatos-para-estagio-pos-doutoral¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3357778&id_orgao_publicacao=0¢Descrição não encontrada
Edital de Bolsas de Doutorado Fluxo Continuo¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/edital-ppgsau-de-bolsas-de-doutorado¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4003180&id_orgao_publicacao=0¢Descrição não encontrada
Seleção de Ingressantes ao Doutorado - 2023/2¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/selecao-de-ingressantes-ao-doutorado-2023-2¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3475045&id_orgao_publicacao=0¢Descrição não encontrada
Edital Pós-Doutorado Voluntário - retificado¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/edital-pos-doutorado-voluntario¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3785087&id_orgao_publicacao=0¢Descrição não encontrada
EDITAL PPGSAU-CT 02/2023 - SELEÇÃO DE CANDIDATOS PARA ESTÁGIO PÓS-DOUTORAL¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/cursos/coordenacoes/stricto-sensu/ppgsau-ct/editais/edital-ppgsau-ct-02-2023-selecao-de-candidatos-para-estagio-pos-doutoral¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3814074&id_orgao_publicacao=0¢Descrição não encontrada
