Título¢Link 1¢Link 2¢Descrição
Edital de Seleção para o Mestrado - turma 2025 (Retificado em 10/08/24)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-do-processo-seletivo-para-o-mestrado-turma-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4735296&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Seleção para a turma 2021¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/selecao-para-a-turma-2020¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=1695237&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 01/2020-PPGEF - Bolsa de estudo¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-01-2020-ppgef-bolsa-de-estudo¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=1375671&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 03/2020-PPGEF - ESTÁGIO DE PÓS-DOUTORADO VOLUNTÁRIO¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-03-2020-ppgef-estagio-de-pos-doutorado-voluntario¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=1919541&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 01/2021-PPGEF - Bolsa de estudo¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-01-2021-ppgef-bolsa-de-estudo¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=1893359&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital de seleção para o Mestrado 2022¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-do-processo-seletivo-para-2022¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2387842&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Bolsa de estudo¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-01-2022-ppgef-bolsa-de-estudo¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2882710&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Seleção para o Mestrado - turma de 2023¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/edital-de-selecao-para-o-mestrado-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3160040&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Processo de seleção para bolsa de estudo 2023¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/processo-de-selecao-para-bolsa-de-estudo-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3514590&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
INSCRIÇÃO PRORROGADA - Seleção para o Mestrado - turma de 2024¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgef-ct/editais/selecao-para-o-mestrado-turma-de-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4057860&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
