Título¢Link 1¢Link 2¢Descrição
Edital 06/2024 - PPGTE - Credenciamento Docente para Atuação no Programa de Pós-graduação em Tecnologia e Sociedade¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-06-2024-ppgte-credenciamento-docente-para-atuacao-no-programa-de-pos-graduacao-em-tecnologia-e-sociedade¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4928787&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL nº 05/2024 - PPGTE  PROCESSO SELETIVO DE BOLSA TÉCNICO – FUNDAÇÃO ARAUCÁRIA  NAPI EDUCAÇÃO DO FUTURO¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-no-05-2024-ppgte-processo-seletivo-de-bolsa-tecnico-fundacao-araucaria-napi-educacao-do-futuro¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4839953&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 03/2024 PPGTE - PROCESSO SELETIVO PARA INGRESSO NO MESTRADO EM 2025¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-03-2024-ppgte-processo-seletivo-para-ingresso-no-mestrado-em-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4751217&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 04/2024 PPGTE - PROCESSO SELETIVO PARA INGRESSO NO DOUTORADO EM 2025¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-04-2024-ppgte-processo-seletivo-para-ingresso-no-doutorado-em-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4751183&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL 002/2024 PPGTE - NAPI EDUCAÇÃO DO FUTURO: BOLSAS DE PÓS-DOUTORADO¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-002-2024-ppgte-napi-educacao-do-futuro-bolsas-de-pos-doutorado¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4700760&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL DE BOLSAS CAPES DS – PPGTE-CT – 01/2024¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-de-bolsas-capes-ds-2013-ppgte-ct-2013-01-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4298320&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital PROPPG 24/2023 Programa Institucional de Doutorado Sanduíche UTFPR¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-proppg-24-2023-programa-institucional-de-doutorado-sanduiche-utfpr¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4240483&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL Nº 5/2023- EDITAL DE SELEÇÃO PARA INGRESSO EM 2024 NO CURSO DE MESTRADO EM TECNOLOGIA E SOCIEDADE(RETIFICADO)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-no-005-2023-edital-de-selecao-para-ingresso-em-2024-no-curso-de-mestrado-em-tecnologia-e-sociedade¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4118105&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL Nº 6/2023  -EDITAL DE SELEÇÃO PARA INGRESSO EM 2024 NO CURSO DE DOUTORADO EM TECNOLOGIA E SOCIEDADE(RETIFICADO)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-no-6-2023-edital-de-selecao-para-ingresso-em-2024-no-curso-de-doutorado-em-tecnologia-e-sociedade-2¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4118017&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
EDITAL Nº 004/2023¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-no-004-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3909152&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital 03/2023 - Pós-doutorado¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/edital-03-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3753348&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital PPGTE 03/2023 PIBIC¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppgte-ct/editais/ppgte¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3740146&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
