Título¢Link 1¢Link 2¢Descrição
Processo Seletivo - Turma 2025 (RETIFICADO)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/processo-seletivo-turma-2025¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4959888&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Credenciamento de Docente Colaborador e Permanente¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/credenciamento-de-docente-colaborador-e-permanente¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4465241&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital de Bolsas - 2024¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/edital-de-bolsas-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=4414511&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Processo Seletivo - Turma 2024¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/processo-seletivo-turma-2024¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3995895&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital de Bolsas - 2023¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/edital-de-bolsas-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3569233&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
PROCESSO SELETIVO – TURMA DE 2023¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/processo-seletivo-2013-turma-de-2023¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=3294934&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Pós-Doutorado Voluntário¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/pos-doutorado-voluntario¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2946258&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Edital de Bolsas - 2022¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/edital-de-bolsas-2022¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2760259&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
PROCESSO SELETIVO – TURMA DE 2022¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/processo-seletivo-turma-de-2022¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2430790&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
SELEÇÃO DE CANDIDATOS PARA REALIZAÇÃO DE ESTÁGIO PÓS-DOUTORAL, NA CONDIÇÃO DE VOLUNTÁRIO¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/selecao-de-candidatos-para-realizacao-de-estagio-pos-doutoral-na-condicao-de-voluntario¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2090236&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Seleção discente para compor lista de espera para concessão de bolsa¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/selecao-discente-para-compor-lista-de-espera-para-concessao-de-bolsa¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=2010349&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
Seleção para o Mestrado - Turma 2021 (RETIFICAÇÃO)¢https://www.utfpr.edu.br/cursos/coordenacoes/stricto-sensu/ppga-ct/editais/selecao-para-o-mestrado-turma-2021¢https://sei.utfpr.edu.br/sei/publicacoes/controlador_publicacoes.php?acao=publicacao_visualizar&id_documento=1813298&id_orgao_publicacao=0¢Descrição não encontrada¢Cronograma não encontrado¢
